url,title,text
https://74.ru/text/incidents/2021/01/26/69725926/,,
https://74.ru/text/criminal/2021/01/26/69718156/,,
https://74.ru/text/business/2021/01/26/69724686/,,
https://74.ru/text/education/2021/01/26/69723396/,,
https://74.ru/text/auto/2021/01/25/69718461/,,
url,title,text
https://74.ru/text/auto/2021/01/25/69718461/,,"Для всех челябинских водителей, а также для тех, кто только собирается сесть за руль, есть отличная новость. «Перспектива» — первая автошкола в Челябинске, которая получила международную аккредитацию RoSPA — Королевского общества по предотвращению несчастных случаев. Это означает, что, выбирая « Перспективу », вы научитесь не просто водить автомобиль, а делать это максимально осознанно и безопасно. Какие преимущества дает международная аккредитация? Теперь профессиональный уровень преподавателей и инструкторов автошколы «Перспектива» подтвержден международными сертификатами RoSPA Level 3 Award. Они успешно прошли обучение по стандартам RoSPA и используют самые новейшие методы подготовки водителей. Автопарк  автошколы «Перспектива»  состоит только из новых автомобилей. Вы можете выбрать автомобиль для вождения как с механической, так и с автоматической коробкой передач. Современный автодром позволяет максимально качественно отработать первоначальные навыки вождения. В «Перспективе» вы сами выбираете себе инструктора, хотя сделать выбор некоторым бывает очень сложно, ведь абсолютно все инструкторы — профессионалы с огромным опытом! Выбирайте любой удобный формат теоретических занятий — очно в классах или изучение теории в формате вебинаров. Подключайтесь к урокам в удобном месте и задавайте вопросы преподавателю в режиме онлайн. Даже если вы пропустили занятие, вы всегда сможете посмотреть его в записи и задать вопросы на следующем вебинаре. Автошкола «Перспектива» предлагает обучение по всем категориям: Фото: Автошкола «Перспектива» Определиться с выбором курсов, обсудить стоимость и заключить договор вам всегда помогут грамотные консультанты. А для оплаты и заключения договора совсем не обязательно приезжать в офис. Благодаря современным технологиям это легко сделать онлайн. В «Перспективе» ценят время каждого и предоставляют любые удобные способы сотрудничества. Вы уверены, что умеете водить? Абсолютно бесплатно аккредитованный инструктор автошколы проведет индивидуальную оценку навыков управления автомобилем для опытных водителей и составит рекомендации для повышения уровня водительского мастерства. В  автошколе «Перспектива»  можно пройти специальный курс для водителей «Защитное вождение», разработанный под контролем экспертов международной организации RoSPA. Вы узнаете, как прогнозировать свои действия на дороге, не допускать ДТП вне зависимости от окружающей обстановки. Научить вас водить автомобиль осознанно и на 100% безопасно — основная задача курса «Защитное вождение». Курс разработан для водителей легковых, грузовых автомобилей и машинистов самоходной техники. Присоединяйтесь к перспективным водителям! Адрес: г. Челябинск, пр. Победы, 160, 2-й этаж (вход с ул. Болейко); тел.:  (351) 7-000-160 ; Auto.perspekt174.ru ; « ВКонтакте »; Instagram . Возрастное ограничение: 16+"
https://74.ru/text/incidents/2021/01/26/69725926/,,"Об этом во вторник, 26 января, сообщила мама Анастасии Светлана Вяткина. Первые слова 21-летняя девушка смогла произнести спустя полтора года после аварии. — Будет громко сказано, что к ней вернулась речь, но Настя уже может произносить отдельные слова, — рассказала нашим коллегам с  E1.RU  Светлана. — Если задаешь ей вопрос, она в ответ кивает головой, она стала очень контактная. Зрение к девушке пока не вернулось, но Настя по-прежнему проходит дорогостоящую реабилитацию в частной клинике доктора Волковой. Студентку поддержал Фонд святой Екатерины, который оплачивает лечение. Часть средств собрали и неравнодушные уральцы. — Всем большое спасибо за оказанную помощь! Собранные средства были направленны на реабилитацию Настюши, — поделились в соцсетях родные. — С помощью реабилитации мы  учимся заново ходить , говорить и возвращаться к полноценной жизни. На данном этапе ваша помощь была для нас очень важна! Дело о ДТП с участием бывшего первого вице-губернатора региона Андрея Косилова продолжает рассматривать Аргаяшский районный суд. Двухмесячная пауза, объявленная в ноябре  в связи с проведением очередной экспертизы , должна закончиться в начале февраля.  Авария произошла 28 июля прошлого года в Аргаяшском районе на 18-м километре трассы Байрамгулово — Новоандреевка. Lexus бывшего вице-губернатора Андрея Косилова  столкнулся с автомобилем «Лада» , в котором компания молодых людей из Екатеринбурга возвращалась с озера. Водитель «Лады-Весты» Никита и его пассажирка Анастасия  после аварии были в коме . Некоторое время Косилов оплачивал лечение пострадавшей Насти, но затем  отказался от помощи девушке .  Всё об аварии и ее последствиях читайте  в материалах 74.RU ."
https://74.ru/text/education/2021/01/26/69723396/,,"Пандемия коронавируса подстегнула интерес родителей к дистанционному образованию детей — вне стен школы. У всех на это свои причины: кто-то не хочет лишний раз подвергать семью риску заражения ковидом, у кого-то не ладится учеба в школе, кто-то серьезно занимается спортом или наукой, и на уроки в традиционном формате времени не остается. А всеобщий весенний дистант многим показал, что учиться дома можно, да и репетиторские центры быстро смекнули, в каком направлении развивать бизнес. 74.RU разобрался, какие формы обучения на дому существуют в Челябинске, кому они подходят и во сколько обходятся родителям. Сразу скажем: некоторым обучение своих чад влетает в копеечку. Семейное обучение Самым популярным вариантом добровольного дистанта сегодня становится семейное обучение. По данным городского комитета по делам образования, еще два года назад в такой форме учились  486 челябинских  школьников, в прошлом — 943, а в этом — уже 1200. Это единственная форма обучения, когда школа практически никак не участвует в жизни ученика. — В Российской Федерации образование может быть получено либо в организациях, осуществляющих образовательную деятельность, либо вне таких организаций (в форме семейного или самообразования). Обучение в форме семейного образования и самообразования осуществляется с правом последующего прохождения промежуточной и государственной итоговой аттестации в школах, — объяснили в комитете. При этом всю ответственность за учебу и освоение ребенком материала берут на себя родители. Нередко они забирают сына или дочь из школы, устав от конфликтов, плохих оценок, непонятных программ и требований современной системы образования, впрочем, причиной может стать удаленность дома от школы и другие. Мама челябинского шестиклассника Татьяна Беркман, например, перевела сына на домашнее обучение полтора года назад, устав от школьных проблем. Причина перевода : — Для начала моему сыну просто не повезло: четыре года начальной школы — и четыре первых учителя, — вспоминает Татьяна. — Поведение детей в первом классе никак не корректировалось — могут во время урока встать и ходить по классу, отвечать, когда их не спрашивают, а во втором почему-то должны вести себя иначе. Дневник пестрел замечаниями по поведению, даже на физкультуре. При этом юная девочка-тренер в секции карате почему-то без проблем справлялась с излишней активностью детей, направляя ее в нужное русло. За эти годы у меня сложилось мнение, что школа не учит, а проверяет то, чему ребенка научили дома. Сын закончил начальную школу на четыре и пять, при этом не владея элементарными навыками. Начался пятый класс — разные учителя, большой объем информации, которую опять же должны осваивать самостоятельно. И опять плохое поведение ребенка. Ощущение, что у меня не мальчик, а черт с рожками. А ребенку просто неинтересно. Усердия и ответственности в этом возрасте ждать бесполезно, если они не заложены первым учителем. В итоге уже в сентябре он умудрился скатиться на двойки. Как выстроено обучение: — В тот день, когда я поняла, что закончилась наша школьная жизнь, я просто открыла интернет и начала искать — где, чего и как. Нашла в соцсетях группу по семейному образованию, там увидела страницу нашего будущего педагога, написала ей, — рассказывает челябинка. — После знакомства с учителем я написала заявление о переводе на семейное обучение. Второй год сын ездит к репетитору четыре дня в неделю. У него наконец-то появился первый учитель — педагог от бога. Она умеет интересно объяснять и математику, и русский язык, и историю, географию, биологию. Она смогла показать сыну, что учиться интересно. У него сейчас спаренные уроки — две или три пары в день, соответственно, ребенку не надо брать с собой полный портфель учебников. И домашнее задание он готовит по двум-трем предметам, пусть в большем объеме, но это всё равно проще, чем подготовиться к шести разным, как в школе.  Как проходит аттестация: —   Мы сами выбрали школу, в которой проходим аттестацию, и прикрепились к ней. По окончании пятого класса сын всё сдал на четыре и пять. Тестирование проводится по всем предметам, в том числе по музыке и ИЗО, — говорит Татьяна. Расходы на обучение: — У нас в среднем выходит  по 5 тысяч  в неделю, в месяц —  20 тысяч , если нет каникул, морозов и ребенок не болеет, — подсчитывает мама шестиклассника. Конечно, расходы у всех семей разные, и чем старше ребенок, тем они выше, так как предметов становится больше. Траты на репетиторов могут доходить  до 50 тысяч , и это не предел. Есть варианты дешевле — семейные классы. Обычно они создаются на базе репетиторских или развивающих центров, педагог в этом случае занимается не с одним,  а с 5–8 мальчиками  и девочками. Другие родители заключают договор с онлайн-школами, дети подключаются к урокам со своего компьютера либо по расписанию, либо могут посмотреть тему в записи. В этом случае у ученика есть педагог, но преподавать он может из любого города. Годовой курс обучения в среднем стоит  от 3 тысяч   до 10 тысяч  рублей. Кто-то из родителей и вовсе решает самостоятельно проходить учебный материал с ребенком, тогда тратиться можно по минимуму, только на пособия и канцелярию, но есть серьезный риск переоценить свои возможности, особенно если мама — не педагог по профессии. Плюсы семейного обучения: — Все-таки это индивидуальное образование, педагог ориентируется на ребенка, — говорит Татьяна. — Нет лишних нагрузок: две-три пары уроков в день — и свободен, это лучше, чем полдня провести в школе, а потом пойти по репетиторам. Минусы семейного обучения: — Стоимость обучения достаточно высокая, плюс у ребенка при семейном обучении возникает дефицит общения со сверстниками. Сын ходит на плаванье, на карате, но тем не менее все дети разные, ребенку общительному нужно больше живого общения, — считает челябинка. — Современных детей сейчас сложно выгнать во двор в снежки поиграть, а в школе они поневоле пересекаются с другими детьми. Домашнее образование Главное отличие домашнего обучения от семейного — это вынужденная мера, в этом случае ребенок учится дома по состоянию здоровья. То есть перейти на домашнее обучение могут не все. — Для обучающихся, нуждающихся в длительном лечении, а также для детей-инвалидов, которые по состоянию здоровья не могут посещать образовательные организации, обучение может быть организовано школой на дому или в медицинских организациях, — уточнили в комитете по делам образования Челябинска. — Основанием для организации обучения на дому или в медицинской организации являются заключение медицинской организации и обращение родителей или законных представителей в письменной форме. То есть для перевода на домашнее обучение у ребенка должны быть медицинские показания. Например, сын челябинки Натальи Давыдовой учится дома уже 10 лет, у мальчика ДЦП, он передвигается в инвалидной коляске, поэтому посещать школу не может. Учителя из школы к нему приходят сами. Причина перевода: — Мы сразу понимали, что ребенок не сможет посещать школу, и решали этот вопрос. Когда нам предложили вариант домашнего обучения, согласились, — рассказывает Наталья Давыдова. Как выстроено обучение: — Сначала к сыну просто приходил учитель начальных классов, а в четвертом классе нам от школы для обучения выделили компьютер, принтер-сканер, микрофон. У нас даже есть электронный микроскоп для химии и биологии, то есть место ученика оборудуется полностью, — говорит челябинка. — Учителя приходят домой — у нас на каждый предмет есть свой учитель. Составляется определенное расписание, мы вместе с педагогами выбираем удобное время. В день обычно бывает два-три предмета, педагог приходит и проводит полноценный урок, в основном это два урока за раз. Математик, например, приходит два раза в неделю, по каким-то предметам педагоги бывают раз в неделю. Если педагог не может прийти, он проводит урок по видеосвязи. Как проходит аттестация: — Обычно сын пишет контрольные и самостоятельные работы дома под присмотром педагогов. В девятом классе к нам приходила комиссия, устанавливали видеокамеру, а дальше — как у всех детей в школе — сын сдавал ОГЭ, — рассказывает мама школьника. — Представители были не только от школы, но и от соцзащиты, они принесли бланки, задания, и сын писал экзамен дома. Расходы на обучение: — У нас никаких затрат на обучение нет, кроме интернета — его мы оплачиваем сами, — говорит Наталья. — Педагоги приходят из нашей школы. Плюсы домашнего обучения: — Ребенка не нужно никуда возить, для нас это важно. Педагог работает с одним ребенком, здесь индивидуальный подход, плюс надомники — это не как в школе (на уроке одного-двух спросили, остальные сидят), здесь ребенка спрашивают на каждом уроке, выучил или не выучил — учителя уже не интересует, — рассуждает челябинка. — Кроме того, есть возможность выбрать предметы для дополнительного изучения. Мы в этом году, например, взяли дополнительно математику и информатику, потому что сын увлекается программированием. Если мы видим, что нам мало русского языка, ребенок не успевает, тоже можем попросить дополнительные занятия. Минусы домашнего обучения:  — Сейчас думаем, куда дальше поступать, потому что из-за заболевания сын не везде сможет учиться, — заключает мама школьника. Обучение по индивидуальному плану Большинство родителей школьников (за исключением разве что родителей первоклассников) после всеобщей весенней удаленки прекрасно знают, что такое дистант. Но в челябинском комитете по делам образования отмечают, что официально такой формы обучения в российском законодательстве нет. Взаимодействие педагогов с учениками на расстоянии — это лишь технология, которая может применяться в учебном процессе как дополнение к традиционной очной форме обучения. Например, этой зимой педагоги дистанционно работали с учениками в морозы, некоторые занятия у старшеклассников могут проходить в таком удаленном формате. В будущем дистанционные уроки, скорее всего, придут на смену халяве во время карантинов. Но это вовсе не значит, что челябинские школьники не могут учиться дистанционно на постоянной основе (ну или почти). Да, официально заочного обучения в челябинских школах нет, есть лишь очно-заочная форма — чаще это что-то вроде вечерней школы для взрослых, которым необходимо закончить основное общее или среднее общее образование. Но сейчас такая форма применяется и для школьников. В законе сказано, что у учеников есть право на обучение по индивидуальному учебному плану, и вот такое индивидуальное образование вполне возможно получать в очно-заочной форме в своей школе. Конечно, для школы и педагогов это дополнительная нагрузка, поэтому обычно они идут на индивидуальное обучение неохотно, но бывают и исключения. Дочка челябинки Ларисы Лопатиной в сентябре перешла на учебу по индивидуальному плану. Девочка сейчас в одиннадцатом классе гимназии  № 76 , идет на медаль и активно участвует в олимпиадах, на подготовку к которым уходит много времени. Причина перевода: — Тина — одаренный ребенок, она с восьмого класса начала пробовать себя во всех олимпиадах, в девятом классе взяла награду за научную работу. Она учит китайский, углубленно изучает английский, сама по себе очень хорошо учится, много читает, — говорит мама выпускницы. — В десятом классе она писала олимпиады разных вузов, ей уже обеспечен бюджет в ЧелГУ и Российском университете дружбы народов в Москве. В одиннадцатом классе она поставила себе планку еще выше, пишет олимпиады во всех университетах страны, она уже прошла все первые туры, и сейчас, в феврале, у нее будут вторые. В сентябре она пришла, говорит: «Мам, у нас в гимназии есть такое, напиши заявление». Я спросила: «Ты справишься?» Говорит: «Справлюсь». Я позвонила классному руководителю и завучу, они сказали: «Да, можно». Дочь идет на золотую медаль, поэтому я сильно не переживала, написала заявление, и октябрь-ноябрь она спокойно писала олимпиады. Как выстроено обучение: — У дочки индивидуальный учебный план, но с обязательным посещением профильных предметов, по которым она будет сдавать ЕГЭ. Сейчас она посещает математику, русский язык и обществознание. Она еще будет сдавать английский, но от этого предмета ее освободили, — говорит Лариса Фёдоровна. — По остальным предметам ей высылают задания онлайн, она их делает и отсылает педагогам. Как проходит аттестация: — По большинству предметов аттестация проходит дистанционно, дочь ее сдает досрочно. А экзамены она будет сдавать со своим классом, как обычно, — объясняет мама школьницы. Расходы на обучение: — Мы ничего не платим, всё обучение проходит на базе нашей гимназии, с дочерью работают педагоги, — отмечает челябинка. Плюсы учебы по индивидуальному плану:  — Такая форма обучения позволяет ребенку лучше развиваться, дает больше самостоятельности, освобождается время для углубленного изучения предметов, которые интересны ребенку. Сейчас, например, дочь переводит свою научную работу на английский язык. При этом ребенок не переутомляется, — говорит мама одиннадцатиклассницы. Минусы учебы по индивидуальному плану:  Кстати, на индивидуальный учебный план школьник может перейти по разным причинам.  В пункте 23   статьи 2  закона «Об образовании в Российской Федерации» говорится, что такой учебный план должен обеспечивать освоение образовательной программы с учетом особенностей и образовательных потребностей конкретного обучающегося. Например, на такую форму могут переходить спортсмены, у которых график тренировок никак не согласуется с учебой в стенах школы, но решение о переводе принимается педагогами индивидуально по каждому ребенку. В Челябинске случаи перевода учеников на индивидуальный учебный план пока единичны, в комитете по делам образования их не фиксируют, потому что такие дети числятся в своих классах, и лишь педагоги с ними работают по-особому. Но не исключено, что в ближайшее время добровольный дистант будет набирать обороты, как и семейное образование. Перед началом этого учебного года челябинка Ольга Чудиновских перевела своих детей на дистанционное обучение. В рубрике «Мнение» на 74.RU она  поделилась опытом и рассказала о реакции учителей . В начале сентября прошлого года первый замглавы региона Ирина Гехт заявила о необходимости развития всех форм обучения,  в том числе индивидуально-дистанционного . В октябре в гимназии  № 100   женщина хотела перевести на дистант сына-астматика , но столкнулась с трудностями. Аналогичная проблема при переводе сына на дистант  возникла у жителей  ЖК «Ньютон» . А 15-летняя челябинка уже  восемь лет учится на дому , мы узнали, каково это."
https://74.ru/text/criminal/2021/01/26/69718156/,,"Деньги у Юлии Дмитриенко сняли с карты «Альфа-банк», привязанной к сервису «Яндекс.Такси». Женщина уверяет, что никуда не ездила. Более того, находилась в это время дома в Челябинске, а за поездку рассчитались в Московской области. Подробности новой схемы мошенничества — в нашем материале. — Я клиент и держатель карты «Альфа-банка», — рассказала 74.RU Юлия. — Карта давно «привязана» в приложении «Яндекс.Такси» для удобства оплаты. И вот 20 января около девяти вечера сижу вечером дома, мне звонят из банка и спрашивают: действительно ли я собираюсь расплачиваться картой в такси на сумму почти в пять тысяч рублей. Я говорю, что нахожусь дома, такси не вызывала, ехать никуда не собираюсь. Сотрудник «Альфа-банка» предложил сразу же заблокировать карту, я согласилась, но деньги уже успели списаться. На следующий день Юлия написала заявление в полицию, а также обратилась в банк о перевыпуске карты и связалась со службой поддержки «Яндекс.Такси». — Я потребовала разобраться с проблемой и вернуть мои деньги обратно. В такси провели служебную проверку и выяснили, что был сделан заказ с постороннего незнакомого мне номера телефона в селе Молоди в Чеховском районе Московской области. За эту поездку пытались расплатиться моей картой. Я просто в шоке, потому что никакого отношения не имею ни к номеру телефона, ни к адресу, на который был сделан вызов. Данные своей карты я никому не сообщала, даже членам семьи. Получается, что произошла утечка информации с такси, — считает Юлия.  На запрос  74.RU  в «Яндекс.Такси» сообщили, что никаких утечек с их стороны не было. — Каким образом данные карты попали к злоумышленникам, могут выяснить только правоохранительные органы. Сейчас все списанные средства возвращены на карту ее владельца. Мы рекомендовали пользователю перевыпустить карту и обратиться в полицию, — сообщил представитель компании Алексей Бирюков.  В полиции заявление Юлии Дмитриенко зарегистрировали и приняли в работу. В «Альфа-банке» пообещали подготовить комментарий позднее. Мы спросили юриста, как такая ситуация могла произойти и можно ли себя обезопасить. — Мифическое получение доступа к карте невозможно, исходя из практики, люди, которые попадают в такие ситуации, в девяноста пяти процентах случаев не следят за своими картами, регистрируются на каких-либо ресурсах, — прокомментировал юрист Николай Попов. — Схема такая: человек совершает покупку в интернет-магазине, вводит данные карты, включая трехзначный код безопасности с оборотной стороны, и все. У мошенников, по сути дела, в руках полный доступ к вашей платежной системе. Вот он слив информации. Проходит время, и человек просто забывает об этом и потом даже не вспомнит, где он свои данные карты отдал.  Если вы столкнулись с мошенниками, Николай Попов советует обратиться в полицию, но не гарантирует успех. — Зачастую найти таких преступников оказывается затруднительно, — добавляет юрист. — Самое верное — быть очень внимательным и бдительным, не озвучивать свои данные по телефону и оставлять их только на проверенных ресурсах. Я всегда советую своим клиентам держать на карте ту денежную сумму, с которой потенциально готовы расстаться. Лучше карту использовать как кошелек, но не как копилку. Читайте и никогда так не делайте Вот несколько поучительных историй, как мошенники разводят людей. У челябинцев с банковских счетов списали десятки тысяч  через сервисы «Яндекса» и интернет-магазин Wildberries . Другую женщину  напугали «взломом» AliExpress . В итоге она перевела аферистам 270 тысяч рублей.  На обман ведутся не только простые горожане. Мошенники увели деньги  с банковской карты сотрудницы МВД . Женщина лишилась больше 90 тысяч рублей. А вот ситуация, где  мошенник под видом банковского работника  уговорил жертву снять деньги со счета и положить их на «номерные ячейки для сохранности и закрытия кредита». В итоге женщина прямо в отделении перевела аферистам более 400 тысяч рублей на продиктованные ей телефонные номера."
